Day,Farm,Farm Temperature (°C),Humidity (%),Average Light Intensity (lux),Atmospheric Pressure (kPa),Rainfall (mm),pH,Soil Moisture (%),Soil Compaction (%),Soil Temperature (°C),Pest Count,Irrigation Duration (minutes)
59,farm_b,26.5,65,5737,101.1,1.7,6.5,47,19,21.3,5,15
60,farm_b,26.7,72,5880,101.5,1.6,6.6,43,19,21.5,6,18
61,farm_b,26.1,72,6418,101.2,0.7,6.7,43,19,20.3,9,17
62,farm_b,26.1,72,5858,100.9,1.4,6.7,43,21,21.4,4,17
63,farm_b,24.4,75,5729,101.0,0.0,6.6,48,19,20.3,5,20
64,farm_b,26.7,74,6247,101.1,0.0,6.5,44,23,21.0,4,15
65,farm_b,25.9,70,5078,101.3,0.9,6.3,42,21,20.7,4,17
66,farm_b,26.4,73,6116,100.8,0.2,6.8,50,22,20.9,9,19
67,farm_b,24.4,71,5186,101.3,1.5,6.5,49,19,21.5,6,20
68,farm_b,26.0,66,5239,101.1,1.6,6.5,43,21,20.3,7,16
69,farm_b,25.0,74,5195,101.4,1.9,6.3,43,19,21.3,8,18
70,farm_b,27.7,66,6363,101.1,1.2,6.8,41,21,21.4,7,18
71,farm_b,24.3,66,5002,101.3,0.7,6.8,48,18,20.2,5,15
72,farm_b,24.6,65,5854,101.0,1.7,6.4,48,18,21.3,4,17
73,farm_b,24.6,74,6449,100.9,0.9,6.4,42,20,21.4,4,18
74,farm_b,24.6,67,6459,101.3,1.8,6.4,48,18,20.5,8,16
75,farm_b,24.2,68,5888,101.3,1.9,6.5,44,21,21.0,9,17
76,farm_b,27.8,73,5432,100.9,0.2,6.4,43,21,21.1,4,20
77,farm_b,26.6,75,6385,101.2,1.1,6.8,44,19,21.4,8,17
78,farm_b,27.3,72,5482,100.8,0.2,6.6,40,23,20.3,6,19
79,farm_b,27.8,75,5477,101.1,0.1,6.5,45,19,20.8,9,18
80,farm_b,27.2,70,5478,101.1,0.0,6.7,47,18,20.3,9,15
81,farm_b,25.6,73,6494,101.0,0.6,6.7,49,23,20.1,8,20
82,farm_b,24.7,71,6450,101.4,1.0,6.3,46,21,21.4,5,19
83,farm_b,26.8,72,6120,101.4,1.7,6.6,41,21,20.6,7,15
84,farm_b,27.1,75,5787,101.4,1.1,6.4,49,19,21.0,9,18
85,farm_b,26.5,66,5124,101.1,1.4,6.7,47,23,21.3,9,17
86,farm_b,24.8,65,6376,101.1,0.2,6.5,41,21,21.5,7,20
87,farm_b,26.7,65,5857,101.1,1.9,6.6,46,19,20.7,5,16
88,farm_b,25.7,69,6251,101.2,1.4,6.7,45,20,20.5,9,17
89,farm_b,25.7,75,6092,100.9,1.3,6.5,49,20,21.4,8,18
90,farm_b,26.8,65,5735,100.9,1.6,6.4,45,23,20.1,4,18
